,created_at,id_str,text,longitude,latitude
277,2019-09-24 8:27:04,1.1764127222647767e+18,"If you live in Hyde Park, ROSLINDALE or Mattapan vote for our friend Ricardo Arroyo Today!!! Tuesday, September 24t… https://t.co/vioSPQa8AN",-71.05799,42.36033
279,2019-09-24 8:26:00,1.176412456035455e+18,"If you live in Hyde Park, ROSLINDALE or Mattapan vote for our friend Ricardo Arroyo Today!!! Tuesday, September 24t… https://t.co/8TteievP77",-71.05799,42.36033
281,2019-09-24 4:38:15,1.1763551386860626e+18,Making my way through my Star Trek list. As I type this I'm in the beginning of Star Trek IV. I'm using Hulu to wat… https://t.co/uFR1Krv883,-71.12395,42.25643
283,2019-09-24 2:02:38,1.1763159781012685e+18,"I'm at bartaco Hyde Park - @bartacolife in Tampa, FL https://t.co/lTcyte0tdL",-82.4761944,27.9362528
285,2019-09-24 1:54:16,1.1763138729087386e+18,"I'm at Hyde Park in Tampa, FL https://t.co/IMdzC4YKGc",-82.47672732,27.93507926
287,2019-09-24 1:27:02,1.176307019470508e+18,Post-wedding side trip to Hyde Park to visit the FDR home and library. So much history transpired right here. You c… https://t.co/RfMDZEK7Sq,-73.93387513,41.76996718
289,2019-09-23 23:31:33,1.1762779577335194e+18,revbrewchicago / @hopbutcher Base West Coast Style IPA 6.0% ABV | #beergangchicago #beergang #craftbeer… https://t.co/JuD84b7D0e,-87.59,41.8
291,2019-09-23 20:05:14,1.1762260332568617e+18,"Shop while great local DJs spin! Join us on Thursday, September 26 at the Hyde Park Farmers Market for music from D… https://t.co/z8tVVM71rO",-87.58799509999999,41.7998315
293,2019-09-23 19:37:15,1.1762189941535334e+18,"Ahhhhhh.... Later than I would like, but poolside quiet time feeds my soul. 💛☀️🌼#happyplace #vitamind #sunshine… https://t.co/EphC0a92Gd",-97.730278,30.3075
295,2019-09-23 18:08:09,1.1761965704143462e+18,"Blessed. @ Hyde Park, London https://t.co/RAdA9s6z5b",-0.16964389,51.50732694
297,2019-09-23 16:35:05,1.1761731498487767e+18,The “Welcome to Hyde Park” website and app is what you need for where to go and what to do in the area – helping yo… https://t.co/UAodeL7zw4,-87.5885162,41.7994156
299,2019-09-23 16:07:28,1.1761661973663334e+18,Just posted a photo @ Hyde Park https://t.co/3FsodeO5pO,-0.16324997,51.50707303
301,2019-09-23 16:06:35,1.1761659783187497e+18,"I'm at Orthopedics / Rheumatology in North New Hyde Park, NY https://t.co/hGwqgBHhYb",-73.69192,40.75591
303,2019-09-23 15:26:34,1.176155906519851e+18,Cleared: Incident on #NY115 SB at Town of Hyde Park; Town of Pleasant Valley Line,-73.85479699999999,41.75
305,2019-09-23 15:26:33,1.1761559022290412e+18,Cleared: Incident on #NY115 SB at Town of Hyde Park; Town of Pleasant Valley Line,-73.85479699999999,41.75
307,2019-09-23 14:26:26,1.1761407732025672e+18,Incident on #NY115 SB at Town of Hyde Park; Town of Pleasant Valley Line https://t.co/mHjz7qrPeq,-73.85479699999999,41.75
309,2019-09-23 13:39:13,1.1761288881430118e+18,"I'm at UFC Gym in New Hyde Park, NY https://t.co/SWYELQLF24",-73.67365028,40.73495979
311,2019-09-23 13:06:04,1.176120547765293e+18,"I'm at Hyde Park - @theroyalparks in London, Greater London https://t.co/1JiuBdvoAc",-0.16239166,51.50778088
313,2019-09-23 11:28:44,1.176096051482243e+18,"I used to think the one in Hyde Park was bad but every time I come here it’s something. Not accepting cash, cards,… https://t.co/piJOb08gr6",-87.61675156,41.84708764
315,2019-09-23 11:12:54,1.1760920673002824e+18,"I'm at Historic Hyde Park in Kansas City, MO https://t.co/9OyOhLVELg",-94.58185673,39.05993308
317,2019-09-23 11:12:23,1.1760919376501596e+18,"I'm at Hyde Park Hobbit Hole in Kansas City, MO https://t.co/nnavV2ubmf",-94.57731698,39.05155488
319,2019-09-23 10:07:05,1.1760755035282842e+18,Friday Night Friends Join Me #livemusic #jimmybarnes #dragon #cher #stereophonics @ Hyde Park Tavern https://t.co/MEJVnLZfP3,138.60041,-34.95559
321,2019-09-23 6:41:09,1.176023678921904e+18,I'm at Park Grand London Hyde Park in London https://t.co/k66ZSwxugg,-0.18035811,51.51564595
323,2019-09-23 4:11:54,1.1759861191183974e+18,"Time to have a baby (@ Katz Women's Hospital in New Hyde Park, NY) https://t.co/YFx3lXSFqP https://t.co/gmAbjmG6lf",-73.70620699999999,40.755051
325,2019-09-23 3:02:40,1.1759686963193037e+18,My little champ finished her first 10 miler  with ease! 🙌 #keeppushing #onetoughpup #nosweat #letsdoitagain @ Hyde… https://t.co/gIwOg6z4Ge,-89.83298274,35.13869446
327,2019-09-22 22:49:36,1.175905010149933e+18,The most wonderful people *officially* commencing the most joyous marriage 🥰 @ The Inn at New Hyde Park https://t.co/fSVyHdq8QS,-73.6920095,40.73070332
329,2019-09-22 21:49:34,1.1758899024934175e+18,buddycav mrtravellingman @TwoHalves45 sydney My first time staying at the vibehotels in #Sydney near Hyde Park.  Re… https://t.co/qzIICfjFRg,151.2095108,-33.87838509
